pm25_data,pm10_data,so2_data,o3_data,co_data,no2_data,发电量,发电量预测值,人均gdp,人均gdp预测值
46.1837329,67.94001338,11.98801388,63.13797483,0.815115133,19.2138649,2615.46,1994.533144650562,63169,52354.46939007574
39.13185687,60.07024285,11.74750324,58.65797924,0.851691322,15.56024602,1434.67,2067.407328211093,51030,43729.77722675546
28.14920538,42.60949153,9.173016205,58.86687831,0.683817653,16.97300876,4503.36,1680.7666864910545,76218,60046.111266178734
30.35327671,43.82663423,9.464099273,57.2082185,0.697594432,12.99443898,1401.11,1711.7041942344233,36441,47993.18611330434
17.83136969,25.83338524,4.733460893,61.47866637,0.366876889,5.451938312,299.32,1745.1320988455668,46631,40677.393294817375
42.45407511,60.30497745,15.35160366,55.05786617,0.635089734,16.83260112,728.1,2005.0512278867102,64171,49444.87641059852
24.59177812,36.14127395,6.675696479,69.79985917,0.427973589,9.502227602,3480.38,1765.0860075830503,45835,44936.951387077046
32.14041349,49.07632462,11.52433881,57.26182037,0.627914015,12.53807099,1899.1,2056.505005829128,35988,42763.96811083311
29.31853393,41.9394497,9.129320019,61.5497398,0.575898893,8.692565425,2955.06,1823.8910617954052,39458,37318.74285154633
6.217451294,7.016315665,0.557974896,87.08195859,0.137610424,0.70004544,55.66,1269.156736814948,39158,37772.31315285378
40.05896799,65.49273617,15.25770492,62.05947541,0.840819761,21.78177876,1814.03,2235.0274053958806,55216,55421.15441264224
21.75907708,35.40564641,5.943717571,71.19000976,0.328050309,7.015782645,1349.15,2075.536550964498,29103,38472.44062042807
8.068783481,8.949013645,0.922158573,80.65486155,0.143631104,0.891765565,626.59,1323.7700974518164,42211,38382.09472996629
33.2142327,66.31343415,17.32855992,67.15718721,0.601255648,18.00875016,1380.94,3123.415706363203,45718,40734.95043003552
22.38952296,28.18466087,1.879471674,69.74392063,0.249651783,2.601112205,3010.78,1640.3625736863019,45476,35953.946238687065
53.55695886,75.89908963,11.37824605,62.67438373,0.882951199,32.36327413,434.39,1598.3122366470056,123391,89811.43631300342
63.69923918,98.96160414,19.79093842,54.83180485,1.307233607,45.01223623,617.55,1990.3794006605308,79647,103272.65884485896
51.85508716,83.48556447,19.28460397,63.21792327,0.965454427,30.04110703,2630.59,2356.288676830214,38688,67504.9560408596
47.45093546,78.38451964,36.77961606,59.67650103,1.240619743,24.86238065,2535.08,2328.035857173117,33972,32992.35690192919
17.26622464,23.82995041,6.525166484,62.4872241,0.310997147,5.201862186,3949.81,1683.0367172716162,56560,40074.91794743221
38.25196624,60.39620947,19.26056564,63.19704782,0.909152751,20.7205445,1778.76,1956.8663507648002,47069,49999.020585028295
30.91368372,43.41804962,11.60034147,62.89370617,0.601648923,13.53865564,760.26,1649.3154624477215,40259,48809.14061264271
19.97428497,27.53340505,6.36117768,56.12685472,0.42346202,8.068507523,900.41,1642.1527836319697,34025,46839.50386155129
41.49526339,60.49973552,13.54222951,66.05411257,0.700278689,36.07700328,807.29,1397.3850154337072,121369,106284.33936071213
48.34054243,78.92105952,16.72106329,66.79629139,0.841024899,28.23332975,4709.37,2393.850998914664,92658,67341.46336079872
35.21779887,52.74748232,10.69200932,58.73215403,0.64627107,24.78486728,3197.66,1721.2824198719993,78384,79079.88720450281
47.86392855,71.70400678,15.54456867,59.53243085,0.815969367,27.90062419,2252.69,1960.3259121738133,43686,73904.10656192827
26.36941021,38.84217712,10.25657963,55.4885293,0.618308596,11.26549211,2007.43,1779.1913451007015,74024,45021.88684832759
36.59525644,54.20187572,14.11696293,56.53194722,0.749913789,15.4091912,1085.35,1930.4717193314682,40950,45822.519520180475
61.64995873,107.410211,26.5651446,64.92401185,1.098317726,33.62189599,5329.27,3239.7849234945074,59239,56742.88098874449
61.61003335,103.1334834,23.02278847,64.57612817,1.180203618,31.24049384,2652.66,2894.2056572817314,41326,54836.196820459096
47.92657253,71.74308854,12.97779818,61.69224497,0.822684888,18.23095554,2479.02,2190.234933843237,56844,46646.08252598469
40.33700476,61.19895522,13.75580527,56.31502332,0.849590454,14.77532592,1385.09,2111.0709170963,46606,39601.65750551525
27.51324796,41.01348699,9.80311406,56.45090549,0.696045785,15.65078048,4263.66,1659.5563042265271,69671,56442.97292564983
29.7416655,42.93426201,9.974630307,54.75494634,0.643252038,11.84477429,1346.51,1794.4186445718337,33340,45525.40177954949
17.8855149,26.80000723,5.154930372,58.45328697,0.363033668,6.187719725,287.73,1831.1321854213775,43009,42318.9458751552
